Time_Index,res_hydro_1,natural_gas_2,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,fixed_offshore_wind_2,float_offshore_wind_2,battery_2,ror_hydro_2,pumped_hydro_2,fusion_2,perfect_gen,newBESS_2,fusion_new_2
156,0.262,1,1,0.457776,0.262340862,0.241212738,0.4326,0.5781,0.5781,1,0.552743642,1,1,1,1,1
157,0.262,1,1,0.485104,0.278001908,0.255612492,0.5955,0.5729,0.5729,1,0.552743642,1,1,1,1,1
158,0.262,1,1,0.366979,0.210307196,0.193369704,0.417,0.494,0.494,1,0.552743642,1,1,1,1,1
159,0.262,1,1,0.209912,0.120295723,0.110607477,0.1582,0.2474,0.2474,1,0.552743642,1,1,1,1,1
160,0.262,1,1,0.07581,0.043444962,0.039946038,0.1665,0.4245,0.4245,1,0.552743642,1,1,1,1,1
161,0.262,1,1,0.007032,0.004029877,0.003705323,0.5223,0.3385,0.3385,1,0.552743642,1,1,1,1,1
162,0.262,1,1,0,0,0,0.1615,0.4186,0.4186,1,0.552743642,1,1,1,1,1
163,0.262,1,1,0,0,0,0.2601,0.749,0.749,1,0.552743642,1,1,1,1,1
164,0.262,1,1,0,0,0,0.1639,0.092,0.092,1,0.552743642,1,1,1,1,1
165,0.262,1,1,0,0,0,0.2917,0.189,0.189,1,0.552743642,1,1,1,1,1
166,0.262,1,1,0,0,0,0.3668,0.2591,0.2591,1,0.552743642,1,1,1,1,1
167,0.262,1,1,0,0,0,0.3249,0.3785,0.3785,1,0.552743642,1,1,1,1,1
168,0.262,1,1,0,0,0,0.2662,0.3629,0.3629,1,0.552743642,1,1,1,1,1
169,0.262,1,1,0,0,0,0.4895,0.5802,0.5802,1,0.552743642,1,1,1,1,1
170,0.262,1,1,0,0,0,0.1841,0.3647,0.3647,1,0.552743642,1,1,1,1,1
171,0.262,1,1,0,0,0,0.7791,0.8651,0.8651,1,0.552743642,1,1,1,1,1
172,0.262,1,1,0,0,0,0.5585,0.5535,0.5535,1,0.552743642,1,1,1,1,1
173,0.262,1,1,0,0,0,0.1892,0.0844,0.0844,1,0.552743642,1,1,1,1,1
174,0.262,1,1,0,0,0,0.4394,0.3623,0.3623,1,0.552743642,1,1,1,1,1
175,0.262,1,1,0,0,0,0.3425,0.8708,0.8708,1,0.552743642,1,1,1,1,1
176,0.262,1,1,0.006014,0.003446485,0.003168915,0.3239,0.2186,0.2186,1,0.552743642,1,1,1,1,1
177,0.262,1,1,0.048248,0.027649815,0.025422985,0.273,0.1426,0.1426,1,0.552743642,1,1,1,1,1
