Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
,,,,,,,295.0,29954.73,37005.95
,,,,,,,296.0,31814.296,42987.36
,,,,,,,297.0,31352.03,47140.55
,,,,,,,298.0,31016.767,47631.65
,,,,,,,299.0,30796.492,47297.93
,,,,,,,300.0,30685.509,48243.41
,,,,,,,301.0,30392.076,46284.86
,,,,,,,302.0,29968.169,42519.4
,,,,,,,303.0,29760.354,40946.42
,,,,,,,304.0,30056.012,39973.88
,,,,,,,305.0,31434.533,41633.44
,,,,,,,306.0,32407.303,43657.95
,,,,,,,307.0,32266.327,43184.11
,,,,,,,308.0,30787.592,39395.89
,,,,,,,309.0,30155.87,38342.16
,,,,,,,310.0,29367.953,33907.87
,,,,,,,311.0,28139.842,30923.51
,,,,,,,312.0,25946.971,28444.02
,,,,,,,313.0,25602.63,27191.37
,,,,,,,314.0,25658.433,25600.41
,,,,,,,315.0,25809.555,25203.37
,,,,,,,316.0,26212.28,25363.04
,,,,,,,317.0,26655.322,25802.27
,,,,,,,318.0,27387.97,27130.89
,,,,,,,319.0,28726.263,28798.06
,,,,,,,320.0,30199.836,30500.32
,,,,,,,321.0,30787.503,32251.91
,,,,,,,322.0,30900.622,34120.17
,,,,,,,323.0,31238.11,35346.0
,,,,,,,324.0,30585.74,36939.63
,,,,,,,325.0,29867.065,37570.84
,,,,,,,326.0,29294.795,35128.3
,,,,,,,327.0,29332.976,33346.71
,,,,,,,328.0,30741.579,32137.93
,,,,,,,329.0,32486.691,32551.7
,,,,,,,330.0,33798.996,32561.1
,,,,,,,331.0,33527.101,35465.47
,,,,,,,332.0,33005.027,35690.04
,,,,,,,333.0,32661.042,34228.69
,,,,,,,334.0,32065.098,32808.85
,,,,,,,335.0,31532.878,30368.7
,,,,,,,336.0,30497.274,27093.5
,,,,,,,337.0,29968.525,24072.85
,,,,,,,338.0,29828.35,22540.86
,,,,,,,339.0,30194.051,22129.75
,,,,,,,340.0,30275.13,21937.54
,,,,,,,341.0,30592.415,22061.07
,,,,,,,342.0,31212.656,23026.96
,,,,,,,343.0,32366.808,24342.8
,,,,,,,344.0,31889.679,26208.43
,,,,,,,345.0,31837.881,27349.03
,,,,,,,346.0,31518.46,28783.84
,,,,,,,347.0,31037.148,29695.95
,,,,,,,348.0,30537.947,31261.05
,,,,,,,349.0,29829.952,33010.61
,,,,,,,350.0,29062.416,32729.67
,,,,,,,351.0,29290.345,32724.45
,,,,,,,352.0,29788.567,32629.4
,,,,,,,353.0,31790.266,33820.88
,,,,,,,354.0,33167.719,34436.0
,,,,,,,355.0,32949.758,37952.26
,,,,,,,356.0,32796.5,37687.72
,,,,,,,357.0,32094.112,35978.33
,,,,,,,358.0,31469.332,34308.8
,,,,,,,359.0,30734.548,32009.29
,,,,,,,360.0,31182.04,28787.45
,,,,,,,361.0,29414.055,25049.92
,,,,,,,362.0,29795.865,23536.59
,,,,,,,363.0,29752.255,22923.45
,,,,,,,364.0,29924.292,22892.53
,,,,,,,365.0,30170.11,23194.73
,,,,,,,366.0,30494.159,25008.93
,,,,,,,367.0,33423.327,28922.25
,,,,,,,368.0,34941.222,34353.57
,,,,,,,369.0,33639.33,36163.53
,,,,,,,370.0,33007.697,36313.02
,,,,,,,371.0,33021.492,35794.04
,,,,,,,372.0,32137.989,36486.7
,,,,,,,373.0,31437.915,37203.85
,,,,,,,374.0,31146.262,35549.26
,,,,,,,375.0,31490.514,34696.67
,,,,,,,376.0,31805.663,35848.96
,,,,,,,377.0,32774.695,38261.46
,,,,,,,378.0,33583.616,42131.67
,,,,,,,379.0,33052.642,42049.7
,,,,,,,380.0,32905.169,37804.67
,,,,,,,381.0,32517.218,35956.63
,,,,,,,382.0,31105.856,31813.46
,,,,,,,383.0,29735.79,28816.28
,,,,,,,384.0,27222.163,26219.39
,,,,,,,385.0,28083.505,23593.08
,,,,,,,386.0,27755.451,22093.84
,,,,,,,387.0,27619.637,21364.32
,,,,,,,388.0,27532.15,21099.73
,,,,,,,389.0,27545.678,21491.35
,,,,,,,390.0,28326.831,23146.37
,,,,,,,391.0,30759.023,27366.59
,,,,,,,392.0,32300.859,33612.99
,,,,,,,393.0,31907.212,35444.83
,,,,,,,394.0,31245.408,35648.19
,,,,,,,395.0,31080.58,34959.03
,,,,,,,396.0,30937.913,35727.42
,,,,,,,397.0,30590.012,36327.43
,,,,,,,398.0,30353.183,35071.25
,,,,,,,399.0,30091.256,34525.38
,,,,,,,400.0,30422.247,35784.18
,,,,,,,401.0,31573.017,38464.98
,,,,,,,402.0,32741.32,41828.87
,,,,,,,403.0,32460.08,42059.94
,,,,,,,404.0,32079.427,38284.23
,,,,,,,405.0,31116.981,37246.53
,,,,,,,406.0,29742.732,32469.38
,,,,,,,407.0,28640.022,29661.17
,,,,,,,408.0,25702.132,27190.46
,,,,,,,409.0,25370.073,25381.35
,,,,,,,410.0,24948.569,24749.7
,,,,,,,411.0,24974.468,24501.87
,,,,,,,412.0,25117.135,25131.88
,,,,,,,413.0,25365.089,26026.54
,,,,,,,414.0,27176.506,28232.41
,,,,,,,415.0,29872.049,33424.61
,,,,,,,416.0,31934.624,39861.12
,,,,,,,417.0,32093.133,42548.29
,,,,,,,418.0,31263.03,42830.65
,,,,,,,419.0,31022.285,42473.59
,,,,,,,420.0,30446.01,43211.83
,,,,,,,421.0,29881.928,42828.92
,,,,,,,422.0,29618.844,39737.3
,,,,,,,423.0,29468.79,38134.23
,,,,,,,424.0,30054.143,38344.1
,,,,,,,425.0,32554.064,40716.01
,,,,,,,426.0,34397.521,43807.1
,,,,,,,427.0,33883.724,44511.04
,,,,,,,428.0,33885.949,41408.53
,,,,,,,429.0,33434.897,40160.08
,,,,,,,430.0,32538.578,34575.46
,,,,,,,431.0,31232.503,31439.3
,,,,,,,432.0,29201.256,28740.11
,,,,,,,433.0,28748.424,25987.09
,,,,,,,434.0,28919.749,24576.7
,,,,,,,435.0,28813.216,23929.97
,,,,,,,436.0,29222.616,23777.07
,,,,,,,437.0,29897.77,23991.57
,,,,,,,438.0,31691.209,25566.1
,,,,,,,439.0,34190.329,30143.42
,,,,,,,440.0,35727.804,36452.98
,,,,,,,441.0,34446.56,37886.07
,,,,,,,442.0,32769.266,37695.31
,,,,,,,443.0,32026.472,36711.13
,,,,,,,444.0,31618.318,37304.23
,,,,,,,445.0,30599.98,37953.45
,,,,,,,446.0,29990.152,37117.84
,,,,,,,447.0,30337.163,37107.85
,,,,,,,448.0,31819.191,38952.86
,,,,,,,449.0,33196.911,41805.71
,,,,,,,450.0,34868.509,44986.95
,,,,,,,451.0,34479.045,45084.19
,,,,,,,452.0,33419.856,41165.6
,,,,,,,453.0,32802.196,39491.32
,,,,,,,454.0,31537.595,33648.96
,,,,,,,455.0,30633.8,30256.99
,,,,,,,456.0,28432.741,27336.79
,,,,,,,457.0,27771.916,24475.95
,,,,,,,458.0,27170.721,22853.43
,,,,,,,459.0,27211.394,22239.39
,,,,,,,460.0,27214.242,22234.22
,,,,,,,461.0,27777.79,22386.83
,,,,,,,462.0,28614.746,23979.47
,,,,,,,463.0,31676.969,27625.6
,,,,,,,464.0,33386.392,33164.35
,,,,,,,465.0,32700.647,35865.4
,,,,,,,466.0,31269.972,37004.36
,,,,,,,467.0,30552.81,37169.36
,,,,,,,468.0,30139.316,38170.88
,,,,,,,469.0,29783.672,39304.3
,,,,,,,470.0,29608.431,38970.98
,,,,,,,471.0,29623.917,39083.57
,,,,,,,472.0,30814.915,40436.52
,,,,,,,473.0,32898.316,42889.26
,,,,,,,474.0,34666.835,45719.93
,,,,,,,475.0,34677.07,45340.44
,,,,,,,476.0,34251.294,41631.15
,,,,,,,477.0,33552.11,40133.93
,,,,,,,478.0,32845.272,35828.28
,,,,,,,479.0,32198.331,32975.29
,,,,,,,480.0,30321.232,30391.55
,,,,,,,481.0,29791.593,28843.72
,,,,,,,482.0,29365.283,27102.77
,,,,,,,483.0,29592.856,26713.02
,,,,,,,484.0,29811.796,26877.18
,,,,,,,485.0,30023.972,27322.34
,,,,,,,486.0,30281.449,28716.86
,,,,,,,487.0,31517.392,30345.1
,,,,,,,488.0,32549.347,32633.5
,,,,,,,489.0,33210.973,34882.08
,,,,,,,490.0,33511.348,37425.24
,,,,,,,491.0,33429.735,39051.29
,,,,,,,492.0,32707.055,40998.05
,,,,,,,493.0,31567.232,42606.45
,,,,,,,494.0,29819.717,40794.43
,,,,,,,495.0,29150.348,40396.24
,,,,,,,496.0,29569.093,39396.53
,,,,,,,497.0,31697.172,36033.74
,,,,,,,498.0,33343.316,36953.2
,,,,,,,499.0,32896.269,40181.11
,,,,,,,500.0,32448.955,40060.93
,,,,,,,501.0,32030.388,39489.76
,,,,,,,502.0,31500.838,38269.55
,,,,,,,503.0,30648.218,36160.22
,,,,,,,504.0,30059.038,33363.84
,,,,,,,505.0,30039.191,30713.3
,,,,,,,506.0,29792.839,30275.88
,,,,,,,507.0,29944.139,30459.1
,,,,,,,508.0,30080.309,30596.41
,,,,,,,509.0,30500.656,31234.15
,,,,,,,510.0,31120.719,32777.11
,,,,,,,511.0,31894.574,35054.06
,,,,,,,512.0,32808.248,37381.0
,,,,,,,513.0,33216.491,39320.46
,,,,,,,514.0,32811.185,40856.67
,,,,,,,515.0,31880.868,41856.55
,,,,,,,516.0,31420.56,43271.06
,,,,,,,517.0,30980.366,42681.09
,,,,,,,518.0,30129.437,38558.2
,,,,,,,519.0,29862.615,36651.27
,,,,,,,520.0,29822.921,35055.7
,,,,,,,521.0,31986.333,35545.76
,,,,,,,522.0,33399.742,36059.03
,,,,,,,523.0,32949.758,39665.75
,,,,,,,524.0,33445.933,39737.33
,,,,,,,525.0,31633.27,39678.54
,,,,,,,526.0,30841.526,38630.32
,,,,,,,527.0,29602.557,36362.49
,,,,,,,528.0,28368.572,33370.32
,,,,,,,529.0,27863.586,29551.77
,,,,,,,530.0,27654.08,28888.03
,,,,,,,531.0,27860.649,28456.47
,,,,,,,532.0,27950.984,29069.98
,,,,,,,533.0,28128.183,29966.88
,,,,,,,534.0,28860.386,31959.55
,,,,,,,535.0,31053.969,36821.23
,,,,,,,536.0,33150.987,43364.38
,,,,,,,537.0,32381.938,45671.87
,,,,,,,538.0,31218.975,46121.44
,,,,,,,539.0,30522.016,45845.44
,,,,,,,540.0,29810.817,45904.87
,,,,,,,541.0,29286.518,44419.83
,,,,,,,542.0,29137.888,40632.82
,,,,,,,543.0,28891.981,38479.43
,,,,,,,544.0,29163.965,38746.2
,,,,,,,545.0,30165.66,40226.79
,,,,,,,546.0,32203.048,43094.0
,,,,,,,547.0,31730.458,43199.02
,,,,,,,548.0,30183.994,39692.5
,,,,,,,549.0,29006.702,38960.35
,,,,,,,550.0,27956.68,34088.63
,,,,,,,551.0,26989.161,31215.86
,,,,,,,552.0,24718.148,28881.17
,,,,,,,553.0,23601.465,27042.08
,,,,,,,554.0,22935.3,26135.04
,,,,,,,555.0,22691.084,25803.25
,,,,,,,556.0,22614.9,26496.24
,,,,,,,557.0,23018.426,27158.52
,,,,,,,558.0,23769.497,29176.1
,,,,,,,559.0,26311.693,33995.2
,,,,,,,560.0,28230.889,40654.42
,,,,,,,561.0,28092.85,41849.65
,,,,,,,562.0,27796.391,42132.57
,,,,,,,563.0,27744.059,41361.98
,,,,,,,564.0,27616.166,41683.38
,,,,,,,565.0,27417.696,41087.12
,,,,,,,566.0,27529.391,37557.99
,,,,,,,567.0,27496.55,36143.18
,,,,,,,568.0,27509.277,36611.91
,,,,,,,569.0,28629.698,38519.49
,,,,,,,570.0,30047.201,41088.39
,,,,,,,571.0,29767.741,41306.63
,,,,,,,572.0,29169.216,38391.89
,,,,,,,573.0,28388.864,37290.21
,,,,,,,574.0,27372.217,32247.5
,,,,,,,575.0,26726.878,29594.92
,,,,,,,576.0,23926.493,27290.4
,,,,,,,577.0,23343.988,25048.05
,,,,,,,578.0,23202.211,23712.83
,,,,,,,579.0,22983.093,23287.95
,,,,,,,580.0,23151.926,23916.71
,,,,,,,581.0,23877.81,24204.14
,,,,,,,582.0,24984.347,26055.02
,,,,,,,583.0,27365.097,30461.12
,,,,,,,584.0,29331.196,36249.39
,,,,,,,585.0,30453.041,37958.97
,,,,,,,586.0,28935.324,38564.42
,,,,,,,587.0,27772.628,38360.34
,,,,,,,588.0,27114.829,38939.85
,,,,,,,589.0,27015.327,38553.76
,,,,,,,590.0,26694.393,36239.89
,,,,,,,591.0,26523.246,35241.07
,,,,,,,592.0,27193.06,35783.18
,,,,,,,593.0,29036.784,37416.73
,,,,,,,594.0,31172.784,40348.46
,,,,,,,595.0,31397.42,40477.3
,,,,,,,596.0,31010.003,37392.27
,,,,,,,597.0,30213.097,37173.22
,,,,,,,598.0,29689.065,33047.06
,,,,,,,599.0,28550.844,30655.0
,,,,,,,600.0,26031.076,28352.32
,,,,,,,601.0,25609.394,26432.51
,,,,,,,602.0,25508.468,26056.69
,,,,,,,603.0,25842.218,25836.52
,,,,,,,604.0,26120.61,26343.41
,,,,,,,605.0,26651.94,27397.97
,,,,,,,606.0,27769.157,29504.38
,,,,,,,607.0,30439.958,34497.45
,,,,,,,608.0,32110.488,41121.24
,,,,,,,609.0,31320.079,43143.14
,,,,,,,610.0,29391.004,43303.75
,,,,,,,611.0,28517.647,42737.53
,,,,,,,612.0,27683.094,43390.83
,,,,,,,613.0,26755.803,42555.81
,,,,,,,614.0,26397.222,39234.83
,,,,,,,615.0,26605.927,37948.86
,,,,,,,616.0,27498.419,37855.04
,,,,,,,617.0,29072.651,39486.0
,,,,,,,618.0,31027.892,42366.17
,,,,,,,619.0,30839.212,42989.02
,,,,,,,620.0,30489.976,40108.45
,,,,,,,621.0,29834.046,39846.34
,,,,,,,622.0,28947.517,34457.36
,,,,,,,623.0,28459.263,31517.68
,,,,,,,624.0,26760.787,28948.7
,,,,,,,625.0,25866.604,27283.85
,,,,,,,626.0,25976.608,26106.64
,,,,,,,627.0,25818.722,25477.92
,,,,,,,628.0,25642.324,25485.33
,,,,,,,629.0,25949.374,25931.47
,,,,,,,630.0,27080.297,27618.51
,,,,,,,631.0,28350.505,31761.52
,,,,,,,632.0,30820.522,38168.68
,,,,,,,633.0,30554.501,40500.57
,,,,,,,634.0,30289.815,40995.92
,,,,,,,635.0,30529.225,40335.7
,,,,,,,636.0,30498.609,40844.54
,,,,,,,637.0,30006.35,40761.91
,,,,,,,638.0,29800.315,39198.57
,,,,,,,639.0,29580.752,38636.58
,,,,,,,640.0,29559.659,38938.65
,,,,,,,641.0,30290.349,37832.33
,,,,,,,642.0,31418.869,40718.88
,,,,,,,643.0,31045.692,41006.72
,,,,,,,644.0,30256.44,37923.89
,,,,,,,645.0,29410.584,36646.13
,,,,,,,646.0,28314.015,31485.08
,,,,,,,647.0,27578.43,28824.42
,,,,,,,648.0,24987.373,26576.25
